tipo;anos;especies;despesas (R$);faturamento (R$);individuos (R$);lucro (R$);preco (R$);produto (R$)
Agrícola;2025;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2026;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2027;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2028;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2029;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2030;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2031;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2032;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2033;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2034;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2035;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2036;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2037;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2038;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2039;Milho;20736;66360;2765;45624;6;Pamonha
Agrícola;2040;Milho;20736;66360;2765;45624;6;Pamonha
Florestal;2034;Andiroba;504;12600;14;12096;1500;Madeira
Florestal;2036;Mogno;756;22400;14;21644;2000;Madeira
Frutífera;2025;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2025;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2026;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2026;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2027;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2028;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2028;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2028;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2028;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2028;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2028;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2029;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2029;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2029;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2029;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2029;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2029;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2030;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2030;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2030;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2030;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2031;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2031;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2031;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2031;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2031;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2031;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2032;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2032;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2032;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2032;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2032;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2032;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2033;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2033;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2033;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2033;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2034;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2034;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2034;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2034;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2034;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2034;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2035;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2035;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2035;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2035;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2035;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2035;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2036;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2036;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2036;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2036;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2037;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2037;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2037;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2037;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2037;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2037;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2038;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2038;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2038;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2038;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2038;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2038;Mamão;3480;37700;58;34220;10;Polpa
Frutífera;2039;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2039;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2039;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2039;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2040;Açaí;5220;17400;58;12180;25;Polpa
Frutífera;2040;Banana;4788;11970;57;7182;10;Polpa
Frutífera;2040;Cacau;6840;5016;57;-1824;4;Fruto
Frutífera;2040;Coqueiro;1050;14000;14;12950;5;Suco
Frutífera;2040;Cupuaçu;5670;83160;54;77490;22;Polpa
Frutífera;2040;Mamão;3480;37700;58;34220;10;Polpa
